iter	Passed	Remaining
945	90284	196029
946	90371	195916
947	90463	195814
948	90566	195733
949	90654	195622
950	90736	195499
951	90822	195382
952	90903	195256
953	91002	195169
954	91105	195090
955	91217	195029
956	91312	194933
957	91411	194845
958	91509	194756
959	91602	194655
960	91699	194564
961	91789	194456
962	91874	194338
963	91978	194261
964	92077	194173
965	92168	194068
966	92262	193970
967	92355	193870
968	92451	193775
969	92547	193681
970	92652	193607
971	92745	193505
972	92845	193419
973	92933	193309
974	93021	193199
975	93113	193095
976	93215	193015
977	93314	192926
978	93409	192830
979	93497	192718
980	93584	192606
981	93674	192500
982	93777	192420
983	93889	192358
984	93995	192285
985	94090	192189
986	94183	192088
987	94264	191964
988	94365	191879
989	94453	191768
990	94542	191661
991	94628	191545
992	94732	191468
993	94836	191391
994	94928	191287
995	95021	191187
996	95101	191060
997	95193	190959
998	95291	190868
999	95376	190753
1000	95461	190636
1001	95554	190536
1002	95660	190463
1003	95755	190366
1004	95837	190243
1005	95938	190159
1006	96032	190062
1007	96142	189995
1008	96232	189889
1009	96335	189809
1010	96437	189727
1011	96522	189612
1012	96620	189520
1013	96728	189451
1014	96828	189364
1015	96918	189258
1016	97029	189193
1017	97122	189092
1018	97229	189020
1019	97325	188926
1020	97428	188844
1021	97507	188718
1022	97609	188635
1023	97708	188547
1024	97797	188438
1025	97879	188316
1026	97964	188202
1027	98059	188107
1028	98159	188019
1029	98239	187894
1030	98334	187798
1031	98421	187687
1032	98516	187591
1033	98616	187505
1034	98701	187390
1035	98782	187267
1036	98871	187159
1037	98953	187039
1038	99049	186944
1039	99145	186851
1040	99236	186747
1041	99325	186640
1042	99421	186547
1043	99523	186463
1044	99618	186366
1045	99706	186257
1046	99794	186149
1047	99899	186072
1048	99996	185980
1049	100094	185889
1050	100188	185791
1051	100282	185695
1052	100387	185616
1053	100466	185491
1054	100562	185397
1055	100646	185281
1056	100741	185185
1057	100836	185089
1058	100923	184978
1059	101018	184882
1060	101110	184780
1061	101200	184676
1062	101287	184565
1063	101378	184463
1064	101490	184398
1065	101589	184310
1066	101682	184209
1067	101777	184113
1068	101860	183997
1069	101942	183877
1070	102032	183773
1071	102122	183667
1072	102210	183559
1073	102318	183486
1074	102399	183367
1075	102482	183249
1076	102577	183153
1077	102671	183055
1078	102761	182951
1079	102853	182851
1080	102955	182766
1081	103053	182676
1082	103147	182579
1083	103226	182456
1084	103312	182344
1085	103405	182244
1086	103490	182132
1087	103579	182025
1088	103668	181919
1089	103762	181823
1090	103864	181738
1091	103957	181640
1092	104042	181527
1093	104130	181419
1094	104228	181329
1095	104326	181239
1096	104416	181135
1097	104508	181034
1098	104598	180929
1099	104694	180836
1100	104779	180722
1101	104882	180641
1102	104975	180543
1103	105073	180453
1104	105152	180329
1105	105254	180245
1106	105350	180151
1107	105454	180072
1108	105562	179998
1109	105645	179882
1110	105739	179785
